ticker,company,sector,pe,pb,sharePrice,debt,totalLiability,currentLiability,intangibleAssets,totalAssets,currentAssets,equity,cash
NXPI,NXP Semiconductors N.V.,Technology,28.22401,5.724003,228.05,10854000000.0,,,,24385000000.0,,9183000000.0,3031000000.0
ALGN,"Align Technology, Inc.",Healthcare,30.813955,2.8943825,159.0,119277000.0,,,,6214600000.0,,3851985000.0,1043887000.0
AIZ,"Assurant, Inc.",Financial Services,13.5527115,1.9386837,222.4,2083100000.0,,,,35020600000.0,,5106700000.0,1807700000.0
HON,Honeywell International Inc.,Industrials,20.081308,7.194416,190.17,32225000000.0,,,,75196000000.0,,18619000000.0,10567000000.0
TRV,"The Travelers Companies, Inc.",Financial Services,10.986226,1.9694661,279.16,8033000000.0,,,,133189000000.0,,27864000000.0,568000000.0
FAST,Fastenal Company,Industrials,38.056606,11.892689,40.34,485400000.0,,,,4698000000.0,,3616300000.0,255800000.0
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,26.066244,4.697822,82.63,2204600000.0,,,,8883100000.0,,4360800000.0,964100000.0
MMM,3M Company,Industrials,26.372204,18.949724,165.09,13659000000.0,,,,39868000000.0,,3842000000.0,5600000000.0
CVX,Chevron Corporation,Energy,20.88467,1.5749227,148.49,24541000000.0,,,,256938000000.0,,152318000000.0,6781000000.0
URI,"United Rentals, Inc.",Industrials,20.368748,5.596571,789.9,14789000000.0,,,,28163000000.0,,8622000000.0,457000000.0
WY,Weyerhaeuser Company,Real Estate,48.086956,1.6894524,22.12,5105000000.0,,,,16536000000.0,,9721000000.0,684000000.0
CME,CME Group Inc.,Financial Services,26.14908,3.448091,270.12,3428000000.0,,,,137447000000.0,,26486900000.0,2892400000.0
APP,Applovin Corporation,Communication Services,85.14923,166.42627,724.62,3556405000.0,,,,5869259000.0,,1089818000.0,741411000.0
DOC,"Healthpeak Properties, Inc.",Real Estate,65.96,1.5084156,16.49,9023269000.0,,,,19938255000.0,,8401276000.0,119818000.0
PLTR,Palantir Technologies Inc.,Technology,413.27274,65.764915,181.84,239219000.0,,,,6340884000.0,,5003275000.0,2098524000.0
QCOM,QUALCOMM Incorporated,Technology,35.05976,8.913649,176.0,14811000000.0,,,,50143000000.0,,21206000000.0,5520000000.0
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,39.135174,-12.722676,269.25,12003000000.0,,,,16522000000.0,,-3727000000.0,1301000000.0
CPT,Camden Property Trust,Real Estate,41.17004,2.4305074,101.69,3485591000.0,,,,8852144000.0,,4675198000.0,21045000.0
BG,Bunge Limited,Consumer Defensive,10.298423,1.1217418,91.45,7119000000.0,,,,24899000000.0,,9913000000.0,3311000000.0
BMY,Bristol-Myers Squibb Company,Healthcare,17.053873,5.558604,50.65,51200000000.0,,,,92603000000.0,,16335000000.0,10346000000.0
SO,Southern Company (The),Utilities,21.266169,2.6893795,85.49,66277000000.0,,,,145180000000.0,,33208000000.0,1070000000.0
BX,Blackstone Inc.,Financial Services,44.833336,14.55139,156.02,12286698000.0,,,,43469875000.0,,8212321000.0,1972140000.0
ED,"Consolidated Edison, Inc.",Utilities,16.751749,1.4312814,95.82,27825000000.0,,,,70562000000.0,,21962000000.0,1324000000.0
OTIS,Otis Worldwide Corporation,Industrials,25.690264,-6.259613,87.09,8742000000.0,,,,11316000000.0,,-4848000000.0,2300000000.0
TFC,Truist Financial Corporation,Financial Services,12.847184,1.026146,47.92,52590000000.0,,,,531176000000.0,,57772000000.0,39768000000.0
JBL,Jabil Inc.,Technology,38.528713,16.203026,228.09,3366000000.0,,,,18543000000.0,,1513000000.0,1933000000.0
DD,"DuPont de Nemours, Inc.",Basic Materials,23.47399,0.7429972,40.61,7171000000.0,,,,36636000000.0,,23350000000.0,1850000000.0
