Apple
Metric,6/30/2025,3/31/2025,12/31/2024,9/30/2024,6/30/2024
Operating Cash Flow,27867000,"23,952,000",29935000,26811000,28858000
Capital Expenditure,3462000,-3071000,-2940000,-2908000,-2151000
Free Cash Flow,24405000.0,20881000.0,26995000.0,23903000.0,26707000.0
Total Debt,101698000.0,98186000.0,96799000.0,106629000.0,101304000.0
Total Stockholder Equity,65830000.0,66796000.0,66758000.0,56950000.0,66708000.0
Total Liabilities Net Minority Interest,265665000.0,264437000.0,277327000.0,308030000.0,264904000.0
Total Assets,331495000.0,331233000.0,344085000.0,364980000.0,331612000.0
Shares Outstanding,14856722.0,14939315.0,15037874.0,15116786.0,15222259.0
Net Income Common Stockholders,23434000.0,24780000.0,36330000.0,14736000.0,21448000.0
Diluted Average Shares,14948179.0,15056133.0,15150865.0,15242853.0,15348175.0
Diluted EPS,1.57,1.65,2.4,0.97,1.4
Price,207.33,211.98,235.17,224.86,220.80
