Google
Metric,6/30/2025,3/31/2025,12/31/2024,9/30/2024,6/30/2024
Operating Cash Flow,27747000,36150000,39113000,30698000,26640000
Capital Expenditure,-22446000,-17197000,-14276000,-13061000,-13186000
Free Cash Flow,5301000,18953000,24837000,17637000,13454000
Total Debt,35559000,23564000,25461000,26922000,27801000
Common Stockholder Equity,362916000,345267000,325084000,314119000,300753000
Total Liabilities Net Minority Interest,139137000,130107000,125172000,116147000,114017000
Total Assets,502053000,475374000,450256000,430266000,414770000
Shares Outstanding,12104000,12155000,12211000,12264000,12322000
Net Income Common Stockholders,28196000,34540000,26536000,26301000,23619000
Diluted Average Shares,12198000,12291000,12348000,12419000,12495000
Diluted EPS,2.31,2.81,2.15,2.12,1.89
Price,243.33,192.69,160.55,204.94,171.94
