,P/B,P/E,NCAV,Total Debt,Tangible Book Value,Net Debt,Stockholder's Equity,Current Liabilities,Share Price,Company,Optimality
0,10.020916,972.7272727272726,353598000000.0,353598000000.0,353598000000.0,353598000000.0,386867000000.0,99550000000.0,321.0,GOOG,0
1,55.85654,322.662037037037,73733000000.0,73733000000.0,73733000000.0,73733000000.0,-5571000000.0,12350000000.0,278.78,AAPL,0
2,6.701361,606.7539267015707,346371000000.0,346371000000.0,346371000000.0,346371000000.0,369631000000.0,21113000000.0,231.78,AMZN,0
3,9.798526,3828.48,222343000000.0,222343000000.0,222343000000.0,222343000000.0,363076000000.0,22741000000.0,478.56,MSFT,0
4,8.44544,-786.130592503023,172908000000.0,172908000000.0,172908000000.0,172908000000.0,194066000000.0,2113000000.0,650.13,META,1
5,-6.3142385,-286.15635179153094,-7469000000.0,-7469000000.0,-7469000000.0,-7469000000.0,-5286000000.0,7592000000.0,87.85,OTIS,2
6,3.2992373,1558.9583333333333,818200000.0,818200000.0,818200000.0,818200000.0,5047900000.0,88400000.0,74.83,HOLX,0
7,10.096926,234.23076923076923,395149000.0,395149000.0,395149000.0,395149000.0,1857041000.0,247068000.0,158.34,CHRW,0
8,1.6253632,357.51879699248116,14483000000.0,14483000000.0,14483000000.0,14483000000.0,21107000000.0,,47.55,FITB,0
9,15.409679,-4020.0,3375000000.0,3375000000.0,3375000000.0,3375000000.0,67000000.0,,192.96,PANW,1
10,5.620061,62.6039119804401,-23918000000.0,-23918000000.0,-23918000000.0,-23918000000.0,63021000000.0,811000000.0,51.21,BMY,0
11,0.9356725,-26.913580246913583,-3996000000.0,-3996000000.0,-3996000000.0,-3996000000.0,8915800000.0,,17.44,CAG,2
12,10.096926,234.23076923076923,395149000.0,395149000.0,395149000.0,395149000.0,1857041000.0,247068000.0,158.34,CHRW,0
13,3.3997114,-53265.99999999999,-2167300000.0,-2167300000.0,-2167300000.0,-2167300000.0,43400000.0,,266.33,CME,1
14,2.217489,72.35521235521234,7092000000.0,7092000000.0,7092000000.0,7092000000.0,11035000000.0,19400000000.0,37.48,CNP,0
15,1.6058929,-717.5829383886256,185275000000.0,185275000000.0,185275000000.0,185275000000.0,195600000000.0,4088000000.0,151.41,CVX,1
16,12.0666275,327.44,3894500000.0,3894500000.0,3894500000.0,3894500000.0,3894500000.0,201800000.0,40.93,FAST,0
17,67.96021,81.2057044079516,6590457000.0,6590457000.0,6590457000.0,6590457000.0,6590457000.0,46271000.0,187.91,PLTR,0
18,5.7925253,-1907.2727272727273,-1215000000.0,-1215000000.0,-1215000000.0,-1215000000.0,382000000.0,724000000.0,230.78,NXPI,1
19,3.2992373,1558.9583333333333,818200000.0,818200000.0,818200000.0,818200000.0,5047900000.0,88400000.0,74.83,HOLX,0
